Wikidata Label,Wikidata ID
Google,Q95
Netflix,Q907311
Meta Platforms,Q380
Amazon,Q3884
Apple,Q312
Microsoft,Q2283
"Tesla, Inc.",Q478214
PayPal,Q483959
eBay,Q58024
Starbucks,Q37158
Airbnb,Q63327
Warner Bros. Discovery,Q107074885
PepsiCo,Q334800
Nvidia,Q182477
Intel,Q248
Electronic Arts,Q173941
Costco,Q715583
Zoom Video Communications,Q17460900
Mercado Libre Company.,Q950419
Mondelez International,Q12857502
Comcast,Q1113804
Adobe,Q11463
ASML Holding,Q297879
Marriott International,Q1141173
Cisco Systems,Q173395
Rivian Automotive,Q7338847
Activision Blizzard,Q344341
Qualcomm Inc.,Q544847
AMD,Q128896
Cognizant,Q1107035
Lucid Motors,Q28027517
"Honeywell International, Inc.",Q898208
Autodesk,Q628051
Texas Instruments,Q193412
Kraft Heinz,Q19681433
AstraZeneca,Q731938
Atlassian,Q757307
Lululemon Athletica,Q6702957
Moderna,Q17081612
Micron Technology,Q1197548
T-Mobile US,Q3511885
Broadcom Inc.,Q4827416
GlobalFoundries,Q691592
Booking Holdings,Q18674747
NXP Semiconductors,Q1155668
Intuit,Q1318848
JD.com,Q3598926
"Workday, Inc.",Q8034666
Baker Hughes,Q804353
PACCAR,Q1477661
Fortinet,Q2749364
Charter Communications,Q2961234
Sirius XM,Q3277465
Applied Materials,Q621610
Ansys,Q295774
Palo Alto Networks,Q7128508
Monster Beverage,Q1945295
Dollar Tree,Q5289230
CrowdStrike,Q24890758
Microchip Technology,Q1545076
Pinduoduo,Q47015652
Walgreens Boots Alliance,Q18712620
Gilead Sciences,Q663596
Zscaler,Q8074786
Amgen,Q470517
Datadog,Q16248637
Ross Stores,Q3442791
Analog Devices,Q484930
Cadence Design Systems,Q608776
Synopsys,Q2303478
Fiserv,Q1420513
Lam Research,Q1342041
KLA Corporation,Q624649
Biogen,Q864338
Illumina,Q2068984
Marvell Technology Group,Q1347782
Regeneron Pharmaceuticals,Q7308054
Exelon,Q1383669
Intuitive Surgical,Q2743863
Vertex Pharmaceuticals,Q2744099
Enphase Energy,Q17012234
O'Reilly Auto Parts,Q7071951
American Electric Power,Q464092
Automatic Data Processing,Q489080
Copart,Q16951448
Xcel Energy,Q1486956
Constellation Energy,Q259195
CSX Corporation,Q1024454
Dexcom,Q15109865
Align Technology,Q30272258
Fastenal,Q3067119
Paychex,Q946080
Cintas,Q1092571
Seagen,Q17155112
CoStar Group,Q16988748
Verisk Analytics,Q7921370
"IDEXX Laboratories, Inc.",Q1758392
Old Dominion Freight Line,Q7083862
Diamondback Energy,Q65091423
