Wikidata Label,Wikidata ID
Google,Q95
Netflix,Q907311
Meta Platforms,Q380
Amazon,Q3884
Apple,Q312
Microsoft,Q2283
McDonald’s,Q38076
"Tesla, Inc.",Q478214
The Walt Disney Company,Q7414
PayPal,Q483959
Nike,Q483915
eBay,Q58024
BlackRock,Q219635
Walmart,Q483551
Starbucks,Q37158
Ford Motor Company,Q44294
General Motors,Q81965
Berkshire Hathaway,Q217583
IBM,Q37156
Warner Bros. Discovery,Q107074885
The Coca-Cola Company,Q3295867
Boeing,Q66
Accenture,Q338825
Lockheed Martin,Q7240
PepsiCo,Q334800
Oracle,Q19900
Nvidia,Q182477
JPMorgan Chase,Q192314
Intel,Q248
Electronic Arts,Q173941
Costco,Q715583
Procter & Gamble,Q212405
General Electric,Q54173
Goldman Sachs & Co. (US),Q193326
Delta Air Lines,Q188920
American Airlines,Q32396
United Airlines,Q174769
Hewlett-Packard,Q80978
Mondelez International,Q12857502
Pfizer,Q206921
Motorola,Q259011
Salesforce,Q941127
AT&T,Q35476
The Home Depot,Q864407
Comcast,Q1113804
Bank of America,Q487907
Paramount Global,Q76846862
ExxonMobil,Q156238
Etsy,Q1353939
Adobe,Q11463
American Express,Q194360
Wells Fargo,Q744149
FedEx,Q459477
Philip Morris International,Q1852556
Southwest Airlines,Q503308
Johnson & Johnson,Q333718
Northrop Grumman,Q329953
Marriott International,Q1141173
Cisco Systems,Q173395
Visa Inc.,Q328840
"Mastercard moneyrange: $:856.829,967 acceso;saldo,disponible:$:856.829,967:class:646017206807748774,",Q489921
Morgan Stanley,Q334204
Target Corporation,Q1046951
Activision Blizzard,Q344341
Caterpillar Inc.,Q459965
Hasbro,Q501476
Qualcomm Inc.,Q544847
Deere & Company,Q496302
Yum! Brands,Q668737
Chevron Corporation,Q319642
United Parcel Service,Q155026
AMD,Q128896
Best Buy,Q533415
Cognizant,Q1107035
3M,Q159433
Chipotle Mexican Grill,Q465751
Citigroup,Q219508
Kellogg's,Q856897
Take-Two Interactive,Q94933
General Dynamics,Q502940
Domino’s Pizza,Q839466
Fox Corporation,Q60238941
"Honeywell International, Inc.",Q898208
Autodesk,Q628051
Raytheon Technologies Corporation,Q89368734
Verizon,Q467752
Alaska Airlines,Q822614
DuPont,Q221062
Kroger,Q153417
Texas Instruments,Q193412
Kraft Heinz,Q19681433
Whirlpool Corporation,Q1471346
The Hershey Company,Q1056637
Ralph Lauren Corporation,Q1641437
Garmin,Q658789
Cummins,Q173476
Schlumberger,Q1425316
Capital One,Q1034654
Eli Lilly and Company,Q632240
Halliburton,Q656165
