Wikidata Label,Wikidata ID
Joe Biden,Q6279
Donald Trump,Q22686
Barack Obama,Q76
Nancy Pelosi,Q170581
Jimmy Carter,Q23685
Ron DeSantis,Q3105215
George W. Bush,Q207
John Fetterman,Q3181500
Bill Clinton,Q1124
Kamala Harris,Q10853588
Dick Cheney,Q48259
Lauren Boebert,Q96761544
Elizabeth Cheney,Q5362573
Marjorie Taylor Greene,Q98380406
Tulsi Gabbard,Q32620
George Santos,Q115170395
Hillary Clinton,Q6294
Alexandria Ocasio-Cortez,Q55223040
Kevin McCarthy,Q766866
Madison Cawthorn,Q96633736
J. D. Vance,Q28935729
Mike Pence,Q24313
Bernie Sanders,Q359442
Al Gore,Q19673
Hakeem Jeffries,Q5640425
Ted Cruz,Q2036942
Beto O'Rourke,Q4014532
Mitch McConnell,Q355522
Matt Gaetz,Q16221742
Kyrsten Sinema,Q1556541
Mitt Romney,Q4496
Raphael Warnock,Q84146599
John Kerry,Q22316
Paul Ryan,Q203966
Adam Kinzinger,Q349955
Mike Pompeo,Q473239
Dianne Feinstein,Q230733
Cory Booker,Q1135767
Charlie Crist,Q374693
Ilhan Omar,Q26436159
Mark Kelly,Q357510
Chuck Schumer,Q380900
Lindsey Graham,Q22212
Gabrielle Giffords,Q193703
Josh Hawley,Q23020745
Kathy Hochul,Q45956
Joe Manchin,Q538868
Lee Zeldin,Q16221257
Rick Scott,Q439729
Kristi Noem,Q465749
Marco Rubio,Q324546
Newt Gingrich,Q182788
Rand Paul,Q463557
Jim Jordan,Q186215
Patrick Leahy,Q59315
Elizabeth Warren,Q434706
Byron Donalds,Q59726216
Ron Paul,Q15257
Katie Porter,Q58754391
Chuck Grassley,Q529294
Karen Bass,Q461739
Tim Ryan,Q513960
Dan Quayle,Q49214
Dan Crenshaw,Q58301995
Nancy Mace,Q6962831
Rahm Emanuel,Q298443
Jon Ossoff,Q28839536
Tim Scott,Q561315
Jamie Raskin,Q640835
John Boehner,Q11702
Victoria Spartz,Q44059867
Adam Schiff,Q350843
Mark Meadows,Q3956796
Ben Sasse,Q16192221
John Neely Kennedy,Q6250211
Al Franken,Q319084
Elise Stefanik,Q18211057
Mary Peltola,Q13562231
Lisa Murkowski,Q22360
Marsha Blackburn,Q458971
Dennis Hastert,Q553626
Jared Polis,Q935734
Steve Scalise,Q1857141
Val Demings,Q7909083
Harold Ford Jr.,Q1289901
Bill Nelson,Q358437
Elaine Luria,Q58323073
Mayra Flores,Q112577890
Katie Britt,Q111285444
Pat Toomey,Q971308
Anthony Weiner,Q557810
Anna Paulina Luna,Q112805534
Alex Padilla,Q4717593
Joe Scarborough,Q1280288
Harriet Hageman,Q110815967
Tom Cotton,Q3090307
John Edwards,Q217314
Patty Murray,Q258825
Joe Kennedy III,Q1707784
Tammy Duckworth,Q3036410
